fold,train_start,train_end,test_start,test_end,threshold,w35
0,2008-01-01,2012-12-31,2013-01-01,2013-12-31,0.75,0.5
1,2008-04-01,2013-03-31,2013-04-01,2014-03-31,0.75,0.5
2,2008-07-01,2013-06-30,2013-07-01,2014-06-30,0.75,0.5
3,2008-10-01,2013-09-30,2013-10-01,2014-09-30,0.75,0.5
4,2009-01-01,2013-12-31,2014-01-01,2014-12-31,0.75,0.5
5,2009-04-01,2014-03-31,2014-04-01,2015-03-31,0.75,0.5
6,2009-07-01,2014-06-30,2014-07-01,2015-06-30,0.75,0.5
7,2009-10-01,2014-09-30,2014-10-01,2015-09-30,0.75,0.5
8,2010-01-01,2014-12-31,2015-01-01,2015-12-31,0.75,0.5
9,2010-04-01,2015-03-31,2015-04-01,2016-03-31,0.75,0.5
10,2010-07-01,2015-06-30,2015-07-01,2016-06-30,0.75,0.5
11,2010-10-01,2015-09-30,2015-10-01,2016-09-30,0.75,0.5
12,2011-01-01,2015-12-31,2016-01-01,2016-12-31,0.75,0.5
13,2011-04-01,2016-03-31,2016-04-01,2017-03-31,0.75,0.5
14,2011-07-01,2016-06-30,2016-07-01,2017-06-30,0.75,0.5
15,2011-10-01,2016-09-30,2016-10-01,2017-09-30,0.75,0.5
16,2012-01-01,2016-12-31,2017-01-01,2017-12-31,0.75,0.5
17,2012-04-01,2017-03-31,2017-04-01,2018-03-31,0.75,0.5
18,2012-07-01,2017-06-30,2017-07-01,2018-06-30,0.75,0.5
19,2012-10-01,2017-09-30,2017-10-01,2018-09-30,0.75,0.5
20,2013-01-01,2017-12-31,2018-01-01,2018-12-31,0.75,0.5
21,2013-04-01,2018-03-31,2018-04-01,2019-03-31,0.75,0.5
22,2013-07-01,2018-06-30,2018-07-01,2019-06-30,0.75,0.5
23,2013-10-01,2018-09-30,2018-10-01,2019-09-30,0.75,0.5
24,2014-01-01,2018-12-31,2019-01-01,2019-12-31,0.75,0.5
25,2014-04-01,2019-03-31,2019-04-01,2020-03-31,0.75,0.5
26,2014-07-01,2019-06-30,2019-07-01,2020-06-30,0.75,0.5
27,2014-10-01,2019-09-30,2019-10-01,2020-09-30,0.75,0.5
28,2015-01-01,2019-12-31,2020-01-01,2020-12-31,0.75,0.5
29,2015-04-01,2020-03-31,2020-04-01,2021-03-31,0.75,0.5
30,2015-07-01,2020-06-30,2020-07-01,2021-06-30,0.75,0.5
31,2015-10-01,2020-09-30,2020-10-01,2021-09-30,0.75,0.5
32,2016-01-01,2020-12-31,2021-01-01,2021-12-31,0.75,0.5
33,2016-04-01,2021-03-31,2021-04-01,2022-03-31,0.75,0.5
34,2016-07-01,2021-06-30,2021-07-01,2022-06-30,0.75,0.5
35,2016-10-01,2021-09-30,2021-10-01,2022-09-30,0.75,0.5
36,2017-01-01,2021-12-31,2022-01-01,2022-12-31,0.75,0.5
37,2017-04-01,2022-03-31,2022-04-01,2023-03-31,0.75,0.5
38,2017-07-01,2022-06-30,2022-07-01,2023-06-30,0.75,0.5
39,2017-10-01,2022-09-30,2022-10-01,2023-09-30,0.75,0.5
40,2018-01-01,2022-12-31,2023-01-01,2023-12-31,0.75,0.5
41,2018-04-01,2023-03-31,2023-04-01,2024-03-31,0.75,0.5
42,2018-07-01,2023-06-30,2023-07-01,2024-06-30,0.75,0.5
43,2018-10-01,2023-09-30,2023-10-01,2024-09-30,0.75,0.5
44,2019-01-01,2023-12-31,2024-01-01,2024-12-31,0.75,0.5
45,2019-04-01,2024-03-31,2024-04-01,2025-03-31,0.75,0.5
46,2019-07-01,2024-06-30,2024-07-01,2025-06-30,0.75,0.5
47,2019-10-01,2024-09-30,2024-10-01,2025-09-30,0.75,0.5
