sleeve,window,ann_return,ann_vol,sharpe,sortino,max_dd,hit_rate,win_loss,avg_turnover,days
trend,All,0.0011388211944551863,0.06796847952791077,0.05078201975308878,0.002998682472894127,0.22803249402333725,0.21993052540165003,1.2643665749076574,0.08770316431104216,4606
hook,All,0.01676799973021814,0.06315161577910149,0.2948321720621845,0.015846245135513744,0.1797251678413534,0.14068606165870604,1.4325791829367631,0.0404955229570102,4606
combo50,All,0.010009257173964059,0.04638782120574211,0.2378933106329078,0.018971300743958513,0.11962417579038742,0.36061658706035604,1.3148649046324685,0.06409934363402618,4606
trend,IS_2008_2016,0.011542963371160564,0.06300972236812853,0.21365425198474672,0.012840985076919912,0.15240877758236726,0.21550255536626917,1.2713714230278532,0.08284710168336931,2348
hook,IS_2008_2016,0.01914115089738644,0.0645296470861046,0.32602622266095765,0.017597150936075043,0.1797251678413534,0.14011925042589438,1.4437690980962272,0.03671236555379027,2348
combo50,IS_2008_2016,0.01636656852142293,0.04508892498496495,0.3825845504296317,0.03096813313037918,0.11962417579038742,0.35562180579216357,1.3298101565543101,0.05977973361857979,2348
trend,OOS1_2017_2021,0.01286067470392549,0.06207247542729681,0.23691485872273357,0.014215978809285022,0.10342294561961018,0.21226053639846743,1.296176162293651,0.08437072353627442,1305
hook,OOS1_2017_2021,0.016538487739041097,0.0652319115352236,0.2839707905854096,0.015623258569571637,0.13226763966135457,0.15938697318007664,1.3206380102635789,0.04753366867297295,1305
combo50,OOS1_2017_2021,0.015724795956646442,0.045016914342514376,0.3690818187098704,0.030109570798626743,0.07988947802852808,0.3716475095785441,1.292221890987935,0.06595219610462368,1305
trend,OOS2_2022_present,-0.03947405844211982,0.08528068097845219,-0.42945276961540424,-0.02570642019999865,0.22529164562417403,0.24134312696747115,1.2309729927957078,0.10423083509892023,953
hook,OOS2_2022_present,0.011257154692328353,0.05653948503504557,0.22619515965615394,0.011576512349942511,0.10932316016010912,0.11647429171038824,1.6052362390046104,0.04017870598264399,953
combo50,OOS2_2022_present,-0.013139944623033362,0.05116911382494246,-0.2329048229958473,-0.017912199936074305,0.10108232343954426,0.3578174186778594,1.3157407985487812,0.0722047705407821,953
