year,annual_return
2000,-0.03345297311186679
2001,0.06219593026125596
2002,0.024511962721311665
2003,-0.013470795838950384
2004,0.03246744487462132
2005,-0.05365684972595065
2006,0.0304414070816263
2007,0.07031624876023618
2008,-0.03149305504318126
2009,-0.017028374800128344
2010,0.01019541958165765
2011,0.051179356784416624
2012,-0.014173057304388672
2013,0.012007487059498192
2014,-0.11698624653375622
2015,0.02025084143202161
2016,0.15225109138701207
2017,0.04475594639402617
2018,-0.035414708476447974
2019,0.10815837012205003
2020,0.04237724936272322
2021,0.01097866096275716
2022,0.09729463754277037
2023,0.03798937413053524
2024,-0.05209660724369126
2025,0.02299412558199268
