year,annual_return
2000,-0.03345297311186873
2001,0.06219593026125878
2002,0.024511962721309802
2003,-0.013470795838950462
2004,0.032467444874622095
2005,-0.05365684972594435
2006,0.030441407081629616
2007,0.07031624876023541
2008,-0.03149305504317923
2009,-0.017028374800126984
2010,0.010195419581651658
2011,0.051179356784416416
2012,-0.014173057304395506
2013,0.012007487059491836
2014,-0.11698624653375851
2015,0.02025084143201702
2016,0.15225109138701354
2017,0.04475594639402279
2018,-0.03541470847644207
2019,0.10815837012205304
2020,0.04237724936272852
2021,0.010978660962760355
2022,0.097294637542765
2023,0.03798937413053581
2024,-0.05209660724369478
2025,0.02299412558199109
